#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (1.233981751942958087e+08+0.000000000000000000e+00j)  (3.078180538306233061e+00+7.826005995335064824e+01j)
 (1.244014123909973949e+08+0.000000000000000000e+00j)  (4.347035851784703198e+00+7.875891508342463965e+01j)
 (1.254046495876989961e+08+0.000000000000000000e+00j)  (5.312991825409683067e+00+7.854980106919116167e+01j)
 (1.264078867844005823e+08+0.000000000000000000e+00j)  (5.613753958897412133e+00+7.794286733661951416e+01j)
 (1.274111239811021835e+08+0.000000000000000000e+00j)  (5.137294452106922371e+00+7.740477178486996479e+01j)
 (1.284143611778037697e+08+0.000000000000000000e+00j)  (4.067939383535435383e+00+7.738188732962518657e+01j)
 (1.294175983745053560e+08+0.000000000000000000e+00j)  (2.819498972294845807e+00+7.812902042231171151e+01j)
 (1.304208355712069571e+08+0.000000000000000000e+00j)  (1.879606380278097788e+00+7.960934518408450344e+01j)
 (1.314240727679085433e+08+0.000000000000000000e+00j)  (1.623772751598593578e+00+8.150482118545410515e+01j)
 (1.324273099646101445e+08+0.000000000000000000e+00j)  (2.170035811100886392e+00+8.333452925887937113e+01j)
 (1.334305471613117307e+08+0.000000000000000000e+00j)  (3.330443184972376791e+00+8.463695917403842373e+01j)
 (1.344337843580133319e+08+0.000000000000000000e+00j)  (4.679222089318374245e+00+8.514719269269166091e+01j)
 (1.354370215547149181e+08+0.000000000000000000e+00j)  (5.713007351467670247e+00+8.490098180344368473e+01j)
 (1.364402587514165044e+08+0.000000000000000000e+00j)  (6.042878278686288240e+00+8.422486693241896205e+01j)
 (1.374434959481180906e+08+0.000000000000000000e+00j)  (5.544969951581894207e+00+8.361465003805115259e+01j)
 (1.384467331448196769e+08+0.000000000000000000e+00j)  (4.411356879339092707e+00+8.354738808462828104e+01j)
 (1.394499703415212929e+08+0.000000000000000000e+00j)  (3.080399503957228280e+00+8.429816250997953375e+01j)
 (1.404532075382228792e+08+0.000000000000000000e+00j)  (2.071713284310270353e+00+8.583197863107946546e+01j)
 (1.414564447349244654e+08+0.000000000000000000e+00j)  (1.787841760072163444e+00+8.781324303595570768e+01j)
 (1.424596819316260517e+08+0.000000000000000000e+00j)  (2.358301877797546631e+00+8.973070604312438547e+01j)
 (1.434629191283276379e+08+0.000000000000000000e+00j)  (3.586398230221642613e+00+9.109141930643085061e+01j)
 (1.444661563250292540e+08+0.000000000000000000e+00j)  (5.020550661112673119e+00+9.161016456217562620e+01j)
 (1.454693935217308402e+08+0.000000000000000000e+00j)  (6.124372306230540630e+00+9.132158669789392036e+01j)
 (1.464726307184324265e+08+0.000000000000000000e+00j)  (6.481491509556357222e+00+9.057098440423013130e+01j)
 (1.474758679151340127e+08+0.000000000000000000e+00j)  (5.956936052460069853e+00+8.988571977289615234e+01j)
 (1.484791051118355989e+08+0.000000000000000000e+00j)  (4.752553611295144975e+00+8.977506929093232202e+01j)
 (1.494823423085372150e+08+0.000000000000000000e+00j)  (3.333812819272105266e+00+9.053444102562001206e+01j)
 (1.504855795052388012e+08+0.000000000000000000e+00j)  (2.254425131217092204e+00+9.212919891005324757e+01j)
 (1.514888167019403875e+08+0.000000000000000000e+00j)  (1.944815805185503121e+00+9.420374557701920537e+01j)
 (1.524920538986419737e+08+0.000000000000000000e+00j)  (2.545221110898425732e+00+9.621400164545562461e+01j)
 (1.534952910953435600e+08+0.000000000000000000e+00j)  (3.848103355853335295e+00+9.763399516056951200e+01j)
 (1.544985282920451462e+08+0.000000000000000000e+00j)  (5.373425842553610998e+00+9.815815982560248187e+01j)
 (1.555017654887467623e+08+0.000000000000000000e+00j)  (6.549593455560301258e+00+9.782156359337810159e+01j)
 (1.565050026854483485e+08+0.000000000000000000e+00j)  (6.931908628407388306e+00+9.699080527034791999e+01j)
 (1.575082398821499348e+08+0.000000000000000000e+00j)  (6.375084718331430977e+00+9.622739625204384595e+01j)
 (1.585114770788515210e+08+0.000000000000000000e+00j)  (5.092922314677026385e+00+9.607447231808255594e+01j)
 (1.595147142755531073e+08+0.000000000000000000e+00j)  (3.580745556047007838e+00+9.684781280856978469e+01j)
 (1.605179514722547233e+08+0.000000000000000000e+00j)  (2.428626667670557016e+00+9.851154893951539293e+01j)
 (1.615211886689563096e+08+0.000000000000000000e+00j)  (2.095774942073797664e+00+1.006874408649010917e+02j)
 (1.625244258656578958e+08+0.000000000000000000e+00j)  (2.732317574386185388e+00+1.027958948923515976e+02j)
 (1.635276630623594820e+08+0.000000000000000000e+00j)  (4.117608473425729443e+00+1.042762187952839099e+02j)
 (1.645309002590610683e+08+0.000000000000000000e+00j)  (5.740302025093495075e+00+1.048024586694623821e+02j)
 (1.655341374557626843e+08+0.000000000000000000e+00j)  (6.991246676856684772e+00+1.044117639113191984e+02j)
 (1.665373746524642706e+08+0.000000000000000000e+00j)  (7.396487970208746709e+00+1.034947769205421935e+02j)
 (1.675406118491658568e+08+0.000000000000000000e+00j)  (6.801292096603965831e+00+1.026499463772655503e+02j)
 (1.685438490458674431e+08+0.000000000000000000e+00j)  (5.433771968347560488e+00+1.024560257798053442e+02j)
 (1.695470862425690293e+08+0.000000000000000000e+00j)  (3.822072712090367030e+00+1.032492004585360519e+02j)
 (1.705503234392706454e+08+0.000000000000000000e+00j)  (2.595065094745272471e+00+1.049906392064070104e+02j)
 (1.715535606359722316e+08+0.000000000000000000e+00j)  (2.241704031366769545e+00+1.072766044106054721e+02j)
 (1.725567978326738179e+08+0.000000000000000000e+00j)  (2.921098437374385348e+00+1.094890902764845890e+02j)
 (1.735600350293754041e+08+0.000000000000000000e+00j)  (4.397034136040320007e+00+1.110308610242698251e+02j)
 (1.745632722260769904e+08+0.000000000000000000e+00j)  (6.123769816233163965e+00+1.115555472738384424e+02j)
 (1.755665094227785766e+08+0.000000000000000000e+00j)  (7.452063975484759517e+00+1.111041877989406146e+02j)
 (1.765697466194801927e+08+0.000000000000000000e+00j)  (7.877711509690334957e+00+1.100944454153131744e+02j)
 (1.775729838161817789e+08+0.000000000000000000e+00j)  (7.237486496880404907e+00+1.091647229914608204e+02j)
 (1.785762210128833652e+08+0.000000000000000000e+00j)  (5.776382264913592302e+00+1.089312855764329981e+02j)
 (1.795794582095849514e+08+0.000000000000000000e+00j)  (4.058582446054085580e+00+1.097507457134047399e+02j)
 (1.805826954062865376e+08+0.000000000000000000e+00j)  (2.754392824779531068e+00+1.115794185153827272e+02j)
 (1.815859326029881537e+08+0.000000000000000000e+00j)  (2.383542072834911707e+00+1.139849621203393895e+02j)
 (1.825891697996897399e+08+0.000000000000000000e+00j)  (3.113116196402207603e+00+1.163078149960336845e+02j)
 (1.835924069963913262e+08+0.000000000000000000e+00j)  (4.688648100967856003e+00+1.179122297858619248e+02j)
 (1.845956441930929124e+08+0.000000000000000000e+00j)  (6.526642765537673974e+00+1.184314094502727528e+02j)
 (1.855988813897944987e+08+0.000000000000000000e+00j)  (7.935021963801669465e+00+1.179122649390345288e+02j)
 (1.866021185864961147e+08+0.000000000000000000e+00j)  (8.378265562120200016e+00+1.168027271974287657e+02j)
 (1.876053557831977010e+08+0.000000000000000000e+00j)  (7.685714354349473254e+00+1.157844347174304716e+02j)
 (1.886085929798992872e+08+0.000000000000000000e+00j)  (6.122053307562192792e+00+1.155132130898782776e+02j)
 (1.896118301766008735e+08+0.000000000000000000e+00j)  (4.291014276537260308e+00+1.163661054530816870e+02j)
 (1.906150673733024597e+08+0.000000000000000000e+00j)  (2.907203696707747476e+00+1.182924928274730121e+02j)
 (1.916183045700040758e+08+0.000000000000000000e+00j)  (2.522227216641940828e+00+1.208280304794388798e+02j)
 (1.926215417667056620e+08+0.000000000000000000e+00j)  (3.310030391803510774e+00+1.232681728406473667e+02j)
 (1.936247789634072483e+08+0.000000000000000000e+00j)  (4.994945582387831706e+00+1.249365267199179215e+02j)
 (1.946280161601088345e+08+0.000000000000000000e+00j)  (6.952050925541750637e+00+1.254458757655258552e+02j)
 (1.956312533568104208e+08+0.000000000000000000e+00j)  (8.443438175562647530e+00+1.248511910408422381e+02j)
 (1.966344905535120368e+08+0.000000000000000000e+00j)  (8.901127868642637608e+00+1.236342350859179220e+02j)
 (1.976377277502136230e+08+0.000000000000000000e+00j)  (8.148209318444646243e+00+1.225234705102009229e+02j)
 (1.986409649469152093e+08+0.000000000000000000e+00j)  (6.472154756675118747e+00+1.222165111482748756e+02j)
 (1.996442021436167955e+08+0.000000000000000000e+00j)  (4.520094274994246319e+00+1.231108109746721340e+02j)
 (2.006474393403183818e+08+0.000000000000000000e+00j)  (3.054066198147534106e+00+1.251465141806630328e+02j)
 (2.016506765370199680e+08+0.000000000000000000e+00j)  (2.658741613394738135e+00+1.278235332386809660e+02j)
 (2.026539137337215841e+08+0.000000000000000000e+00j)  (3.513674076820267445e+00+1.303885789867314600e+02j)
 (2.036571509304231703e+08+0.000000000000000000e+00j)  (5.318739657009674104e+00+1.321222861437838674e+02j)
 (2.046603881271247566e+08+0.000000000000000000e+00j)  (7.403548576946928250e+00+1.326170538505911054e+02j)
 (2.056636253238263428e+08+0.000000000000000000e+00j)  (8.981082735165820452e+00+1.319383429104377683e+02j)
 (2.066668625205279291e+08+0.000000000000000000e+00j)  (9.449668005792238645e+00+1.306056808094506323e+02j)
 (2.076700997172295451e+08+0.000000000000000000e+00j)  (8.627470262181820004e+00+1.293983011457393957e+02j)
 (2.086733369139311314e+08+0.000000000000000000e+00j)  (6.828178956156937041e+00+1.290580408063453604e+02j)
 (2.096765741106327176e+08+0.000000000000000000e+00j)  (4.746570917187431071e+00+1.300027152061147149e+02j)
 (2.106798113073343039e+08+0.000000000000000000e+00j)  (3.195557293538120014e+00+1.321606664127554893e+02j)
 (2.116830485040358901e+08+0.000000000000000000e+00j)  (2.794160548286316992e+00+1.349919232612800783e+02j)
 (2.126862857007375062e+08+0.000000000000000000e+00j)  (3.726131002972707940e+00+1.376903056580305815e+02j)
 (2.136895228974390924e+08+0.000000000000000000e+00j)  (5.663269457562159381e+00+1.394909267474959620e+02j)
 (2.146927600941406786e+08+0.000000000000000000e+00j)  (7.885244965560305630e+00+1.399658697161735006e+02j)
 (2.156959972908422649e+08+0.000000000000000000e+00j)  (9.552314512932296608e+00+1.391938009907017886e+02j)
 (2.166992344875438511e+08+0.000000000000000000e+00j)  (1.002776947379976491e+01+1.377363822519801033e+02j)
 (2.177024716842454672e+08+0.000000000000000000e+00j)  (9.126355011631108738e+00+1.364279859363911953e+02j)
 (2.187057088809470534e+08+0.000000000000000000e+00j)  (7.191803117320501038e+00+1.360573485325600984e+02j)
 (2.197089460776486397e+08+0.000000000000000000e+00j)  (4.971255506227148402e+00+1.370625598536406358e+02j)
 (2.207121832743502259e+08+0.000000000000000000e+00j)  (3.332300719431618319e+00+1.393572826841672168e+02j)
 (2.217154204710518122e+08+0.000000000000000000e+00j)  (2.929710938708342205e+00+1.423570473680127009e+02j)
 (2.227186576677533984e+08+0.000000000000000000e+00j)  (3.949830758299182953e+00+1.451981784347097744e+02j)
 (2.237218948644550145e+08+0.000000000000000000e+00j)  (6.032335764182886528e+00+1.470674564327852920e+02j)
 (2.247251320611566007e+08+0.000000000000000000e+00j)  (8.401969395144391228e+00+1.475167599326109951e+02j)
 (2.257283692578581870e+08+0.000000000000000000e+00j)  (1.016225354689639993e+01+1.466410180559279013e+02j)
 (2.267316064545597732e+08+0.000000000000000000e+00j)  (1.063998419603308143e+01+1.450489132213442360e+02j)
 (2.277348436512613595e+08+0.000000000000000000e+00j)  (9.648198388404217951e+00+1.436348227801319979e+02j)
 (2.287380808479629755e+08+0.000000000000000000e+00j)  (7.564966781194678802e+00+1.432373438694821175e+02j)
 (2.297413180446645617e+08+0.000000000000000000e+00j)  (5.195071801259457445e+00+1.443147060622411004e+02j)
 (2.307445552413661480e+08+0.000000000000000000e+00j)  (3.465014364420686555e+00+1.467626427358665637e+02j)
 (2.317477924380677342e+08+0.000000000000000000e+00j)  (3.066845590770073571e+00+1.499470062427657524e+02j)
 (2.327510296347693205e+08+0.000000000000000000e+00j)  (4.187671360349859206e+00+1.529414781370505523e+02j)
 (2.337542668314709365e+08+0.000000000000000000e+00j)  (6.430476908652890344e+00+1.548813862400916150e+02j)
 (2.347575040281725228e+08+0.000000000000000000e+00j)  (8.959486097793037729e+00+1.552985699256992973e+02j)
 (2.357607412248741090e+08+0.000000000000000000e+00j)  (1.081700581633149660e+01+1.543076877618387357e+02j)
 (2.367639784215756953e+08+0.000000000000000000e+00j)  (1.129173406758704346e+01+1.525699483200016005e+02j)
 (2.377672156182772815e+08+0.000000000000000000e+00j)  (1.019696620283786537e+01+1.510451946741746383e+02j)
 (2.387704528149788976e+08+0.000000000000000000e+00j)  (7.949972867470359361e+00+1.506251836271599984e+02j)
 (2.397736900116804838e+08+0.000000000000000000e+00j)  (5.419120956215777163e+00+1.517880898031781669e+02j)
 (2.407769272083820701e+08+0.000000000000000000e+00j)  (3.594572885544538021e+00+1.544080174615690737e+02j)
 (2.417801644050836563e+08+0.000000000000000000e+00j)  (3.207341989711149033e+00+1.577952830176625980e+02j)
 (2.427834016017852426e+08+0.000000000000000000e+00j)  (4.443182611333175380e+00+1.609551261319607249e+02j)
 (2.437866387984868586e+08+0.000000000000000000e+00j)  (6.863203272256058085e+00+1.629679327900726378e+02j)
 (2.447898759951884449e+08+0.000000000000000000e+00j)  (9.564780828986206629e+00+1.633457369343975927e+02j)
 (2.457931131918900311e+08+0.000000000000000000e+00j)  (1.152396331960842524e+01+1.622268894870789211e+02j)
 (2.467963503885916173e+08+0.000000000000000000e+00j)  (1.198958045993289012e+01+1.603313778755016870e+02j)
 (2.477995875852932036e+08+0.000000000000000000e+00j)  (1.077746181277114701e+01+1.586906886072898999e+02j)
 (2.488028247819947898e+08+0.000000000000000000e+00j)  (8.349624160945348095e+00+1.582534429426965232e+02j)
 (2.498060619786964059e+08+0.000000000000000000e+00j)  (5.644770498497678091e+00+1.595174899844601555e+02j)
 (2.508092991753979921e+08+0.000000000000000000e+00j)  (3.722094454823389853e+00+1.623310582243641420e+02j)
