#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (2.046603881271247566e+08+0.000000000000000000e+00j)  (1.567827049622380997e+01+1.523957425637954088e+02j)
 (2.056636253238263428e+08+0.000000000000000000e+00j)  (2.030074143483449589e+01+1.506552496039816162e+02j)
 (2.066668625205279291e+08+0.000000000000000000e+00j)  (2.432557143325149696e+01+1.480039606291579446e+02j)
 (2.076700997172295451e+08+0.000000000000000000e+00j)  (2.757342628880411084e+01+1.445838381633031133e+02j)
 (2.086733369139311314e+08+0.000000000000000000e+00j)  (2.989795423590772927e+01+1.405716186290474923e+02j)
 (2.096765741106327176e+08+0.000000000000000000e+00j)  (3.119242366456689552e+01+1.361712819434321204e+02j)
 (2.106798113073343039e+08+0.000000000000000000e+00j)  (3.139466682714401102e+01+1.316052776631239283e+02j)
 (2.116830485040358901e+08+0.000000000000000000e+00j)  (3.049010197929268884e+01+1.271048838861043890e+02j)
 (2.126862857007375062e+08+0.000000000000000000e+00j)  (2.851268899842400018e+01+1.229001155084006882e+02j)
 (2.136895228974390924e+08+0.000000000000000000e+00j)  (2.554376299250667159e+01+1.192096208792033565e+02j)
 (2.146927600941406786e+08+0.000000000000000000e+00j)  (2.170878289137850459e+01+1.162310092995301289e+02j)
 (2.156959972908422649e+08+0.000000000000000000e+00j)  (1.717212348385892895e+01+1.141320358958385555e+02j)
 (2.166992344875438511e+08+0.000000000000000000e+00j)  (1.213012582649193760e+01+1.130430357387051714e+02j)
 (2.177024716842454672e+08+0.000000000000000000e+00j)  (6.802698595702956652e+00+1.130509470573413040e+02j)
 (2.187057088809470534e+08+0.000000000000000000e+00j)  (1.423828335979839155e+00+1.141951961789237657e+02j)
 (2.197089460776486397e+08+0.000000000000000000e+00j)  (-3.768593264102368501e+00+1.164656372303960978e+02j)
 (2.207121832743502259e+08+0.000000000000000000e+00j)  (-8.543184251707849342e+00+1.198026510707853731e+02j)
 (2.217154204710518122e+08+0.000000000000000000e+00j)  (-1.268527498496235317e+01+1.240994141797197301e+02j)
 (2.227186576677533984e+08+0.000000000000000000e+00j)  (-1.600645006503204115e+01+1.292062533695501259e+02j)
 (2.237218948644550145e+08+0.000000000000000000e+00j)  (-1.835300704328631838e+01+1.349369103473670464e+02j)
 (2.247251320611566007e+08+0.000000000000000000e+00j)  (-1.961295372510728185e+01+1.410764553591035622e+02j)
 (2.257283692578581870e+08+0.000000000000000000e+00j)  (-1.972122713369615710e+01+1.473905151511985991e+02j)
 (2.267316064545597732e+08+0.000000000000000000e+00j)  (-1.866289272262086030e+01+1.536354205915871489e+02j)
 (2.277348436512613595e+08+0.000000000000000000e+00j)  (-1.647416903941702415e+01+1.595688362149629143e+02j)
 (2.287380808479629755e+08+0.000000000000000000e+00j)  (-1.324121704296412538e+01+1.649604096971056606e+02j)
 (2.297413180446645617e+08+0.000000000000000000e+00j)  (-9.096730615031079381e+00+1.696019750132442994e+02j)
 (2.307445552413661480e+08+0.000000000000000000e+00j)  (-4.214461257390272664e+00+1.733168591257765172e+02j)
 (2.317477924380677342e+08+0.000000000000000000e+00j)  (1.198098685370558192e+00+1.759678779227524785e+02j)
 (2.327510296347693205e+08+0.000000000000000000e+00j)  (6.908567714414274974e+00+1.774636613694747780e+02j)
 (2.337542668314709365e+08+0.000000000000000000e+00j)  (1.266968577198054113e+01+1.777630182096662566e+02j)
 (2.347575040281725228e+08+0.000000000000000000e+00j)  (1.823005420312906466e+01+1.768771341087139319e+02j)
 (2.357607412248741090e+08+0.000000000000000000e+00j)  (2.334514036847086516e+01+1.748694903220375352e+02j)
 (2.367639784215756953e+08+0.000000000000000000e+00j)  (2.778806705074313399e+01+1.718534888029727767e+02j)
